Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains
brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,1,,article,,brave.com
cnn.com,https://rss.cnn.com/rss/cnn_topstories.rss,CNN,Top News,Enabled,7.04,,article,,www.cnn.com
nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,Top News,Enabled,5.7400000000000002,On,article,,www.nytimes.com
bbc.co.uk,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC,Top News,Enabled,3.2200000000000002,,article,,www.bbc.co.uk
foxnews.com,https://feeds.foxnews.com/foxnews/latest,FOX News,Top News,Enabled,2.8100000000000001,On,article,,www.foxnews.com
theguardian.com,https://www.theguardian.com/world/rss,The Guardian,Top News,Enabled,2.3100000000000001,On,article,,www.theguardian.com
washingtonpost.com,https://www.washingtonpost.com/?outputType=rss,Washington Post,Top News,Enabled,2.2999999999999998,,article,,www.washingtonpost.com
nbcnews.com,https://feeds.nbcnews.com/nbcnews/public/news,NBC News,Top News,Enabled,2.2200000000000002,,article,,www.nbcnews.com
abcnews.com,https://abcnews.go.com/abcnews/topstories,ABC News,Top News,Enabled,1.49,On,article,,abcnews.go.com
dailymail.co.uk,https://www.dailymail.co.uk/home/index.rss,Daily Mail,Top News,Enabled,1.4199999999999999,On,article,,www.dailymail.co.uk
nypost.com,https://nypost.com/news/feed/,New York Post,Top News,Enabled,1.3899999999999999,On,article,,nypost.com
npr.org,https://feeds.npr.org/1001/rss.xml,NPR,Top News,Enabled,1.0600000000000001,,article,,www.npr.org
wsj.com,https://feeds.a.dj.com/rss/RSSWorldNews.xml,WSJ,Top News,Enabled,0.38,,article,,www.wsj.com
latimes.com,https://www.latimes.com/local/rss2.0.xml,LA Times,Top News,Disabled,0.070000000000000007,,article,,www.latimes.com
newsweek.com,https://www.newsweek.com/rss,Newsweek,Top News,Disabled,-0.040000000000000001,,article,,www.newsweek.com
politico.com,https://rss.politico.com/politics-news.xml,Politico,Top News,Disabled,-0.050000000000000003,,article,,www.politico.com
independent.co.uk,https://www.independent.co.uk/rss,The Independent,Top News,Disabled,-0.33000000000000002,,article,,www.independent.co.uk
breitbart.com,https://feeds.feedburner.com/breitbart,Breitbart,Top News,Disabled,-0.45000000000000001,,article,,www.breitbart.com
thehill.com,https://thehill.com/rss/syndicator/19110,The Hill,Top News,Disabled,-0.46999999999999997,,article,,thehill.com
washingtontimes.com,https://www.washingtontimes.com/rss/headlines/news/,The Washington Times,Top News,Disabled,-0.77000000000000002,,article,,www.washingtontimes.com
thedailybeast.com,https://feeds.feedburner.com/thedailybeast/articles,The Daily Beast,Top News,Disabled,-0.80000000000000004,,article,,www.thedailybeast.com
telegraph.co.uk,https://www.telegraph.co.uk/news/rss.xml,The Telegraph,Top News,Disabled,-0.84999999999999998,,article,,www.telegraph.co.uk
dailycaller.com,https://dailycaller.com/section/us/feed/,Daily Caller,Top News,Disabled,-0.89000000000000001,,article,,dailycaller.com
theblaze.com,https://www.theblaze.com/feeds/news.rss,The Blaze,Top News,Disabled,-0.96999999999999997,,article,,www.theblaze.com
cbc.ca,https://www.cbc.ca/cmlink/rss-topstories,CBC,Top News,Disabled,-1.0600000000000001,,article,,www.cbc.ca
aljazeera.com,https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,Top News,Disabled,-1.0700000000000001,,article,,www.aljazeera.com
smh.com.au,https://www.smh.com.au/rss/feed.xml,Sydney Morning Herald,Top News,Disabled,-1.1000000000000001,,article,,www.smh.com.au
axios.com,https://api.axios.com/feed/,Axios,Top News,Disabled,-1.1399999999999999,On,article,,www.axios.com
spiegel.de,https://www.spiegel.de/international/index.rss,Der Spiegel,Top News,Disabled,-1.1899999999999999,,article,,www.spiegel.de
sky.com,https://feeds.skynews.com/feeds/rss/world.xml,Sky News,Top News,Disabled,-1.28,On,article,,news.sky.com
bostonglobe.com,https://www.bostonglobe.com/rss/feedly.xml,The Boston Globe,Top News,Disabled,-1.28,,article,,www.bostonglobe.com
euronews.com,https://feeds.feedburner.com/euronews/en/home/,Euronews,Top News,Disabled,-1.3200000000000001,,article,,www.euronews.com
ft.com,https://www.ft.com/rss/home/uk,Financial Times,Top News,Disabled,-1.3300000000000001,,article,,www.ft.com
motherjones.com,https://feeds.feedburner.com/motherjones/main,Mother Jones,Top News,Disabled,-1.3300000000000001,,article,,www.motherjones.com
csmonitor.com,https://rss.csmonitor.com/feeds/top,The Christian Science Monitor,Top News,Disabled,-1.3500000000000001,,article,,www.csmonitor.com
propublica.org,https://www.propublica.org/feeds/propublica/main,ProPublica,Top News,Disabled,-1.3799999999999999,,article,,www.propublica.org
tnr.com,https://newrepublic.com/rss.xml,The New Republic,Top News,Disabled,-1.3899999999999999,,article,,newrepublic.com
democracynow.org,https://www.democracynow.org/democracynow.rss,Democracy Now!,Top News,Disabled,-1.3899999999999999,,article,,www.democracynow.org
